2018-09-18 15:22:40.924 [pool-2-thread-4] AMQPTaskGateway INFO  - Received a task request from RMClient on prepared_tasks, redeliver? false
2018-09-18 15:22:40.946 [pool-2-thread-4] AMQPTaskGateway INFO  - Flowengine Taskgateway received a content=task_message_content_type_task for selftaskId= 1fb8e172-af9d-44ce-2f38-2af9ee36fa1c
2018-09-18 15:22:40.961 [pool-4-thread-1] TaskController INFO  - selectBestXFAgent successfully selected the best XFAgent worker to execute this task: 1fb8e172-af9d-44ce-2f38-2af9ee36fa1c 
2018-09-18 15:22:40.981 [pool-2-thread-3] TaskStatusMessageHandler INFO  - Received a task status request on nb_flowengine_task_status_queue, redeliver? false
2018-09-18 15:22:40.982 [pool-2-thread-3] TaskStatusMessageHandler INFO  - Received task status message task_message_content_type_execution_begin for selfTaskId=1fb8e172-af9d-44ce-2f38-2af9ee36fa1c rootTaskId=1fb8e172-af9d-44ce-2f38-2af9ee36fa1c 
2018-09-18 15:22:40.984 [pool-2-thread-3] TaskController INFO  - Notify taskFlow=1fb8e172-af9d-44ce-2f38-2af9ee36fa1c begin
2018-09-18 15:22:40.988 [pool-2-thread-4] TaskQueueManagerImpl INFO  - flowengine received taskResult 0 back from XFAgent worker for taskid 1fb8e172-af9d-44ce-2f38-2af9ee36fa1c.
2018-09-18 15:22:40.992 [pool-2-thread-3] AMQPTaskGateway INFO  - Received a task request from RMClient on prepared_tasks, redeliver? false
2018-09-18 15:22:40.995 [pool-2-thread-3] AMQPTaskGateway INFO  - Flowengine Taskgateway received a content=task_message_content_type_task for selftaskId= f40a3fd4-b5e3-4a4c-887b-a136ccdf3cf1
2018-09-18 15:22:41.266 [pool-4-thread-1] TaskController INFO  - selectBestXFAgent successfully selected the best XFAgent worker to execute this task: f40a3fd4-b5e3-4a4c-887b-a136ccdf3cf1 
2018-09-18 15:22:41.283 [pool-2-thread-4] TaskStatusMessageHandler INFO  - Received a task status request on nb_flowengine_task_status_queue, redeliver? false
2018-09-18 15:22:41.283 [pool-2-thread-4] TaskStatusMessageHandler INFO  - Received task status message task_message_content_type_execution_begin for selfTaskId=f40a3fd4-b5e3-4a4c-887b-a136ccdf3cf1 rootTaskId=f40a3fd4-b5e3-4a4c-887b-a136ccdf3cf1 
2018-09-18 15:22:41.285 [pool-2-thread-4] TaskController INFO  - Notify taskFlow=f40a3fd4-b5e3-4a4c-887b-a136ccdf3cf1 begin
2018-09-18 15:22:41.292 [pool-2-thread-3] CommonUtil INFO  - ##### Flowengine successfully received a XFAgent update msg from worker, the temporarily cached taskCount 1 on this server will be reset to 0.
2018-09-18 15:22:41.292 [pool-2-thread-3] TaskQueueManagerImpl INFO  - flowengine received taskResult 0 back from XFAgent worker for taskid f40a3fd4-b5e3-4a4c-887b-a136ccdf3cf1.
